CO(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,AH,hola1
1,84,7,5,879,103,1104,102,1490,21,7696
1,99,8,2,906,112,1081,107,1511,21,8307
3,11,9,1045,170,974,129,1646,1099,2,8732
2,156,12,0,1051,180,943,128,1668,21,9210
2,122,12,2,1055,160,929,121,1671,19,9320
4,262,20,6,1312,261,753,157,1993,18,9341
5,341,23,1,1381,325,681,173,2103,17,9314
3,214,14,7,1140,217,784,146,1818,16,9164
2,100,9,0,940,146,924,121,1587,16,9094
2,79,8,8,933,152,933,119,1617,14,9361
1,66,7,4,872,104,985,99,1547,14,9230
1,44,4,4,734,-200,1128,-200,1487,12,9475
-200,4,0,711,66,1150,71,1468,1013,3,9401
1,3,9,703,88,1156,74,1464,1010,9,9170
1,51,6,4,830,138,1030,80,1584,11,9076
2,107,9,7,966,228,897,89,1710,11,8993
5,336,25,9,1451,360,652,114,2323,12,8801
8,618,36,7,1701,478,537,149,2665,14,8904
5,438,26,6,1470,394,622,157,2262,17,9096
4,334,20,1,1300,319,710,155,2029,19,8757
3,221,14,1,1120,201,831,134,1783,22,8736
2,207,14,9,1146,171,830,119,1831,23,8848
2,191,15,4,1162,159,838,111,1829,23,9137
2,185,12,1,1053,153,926,104,1707,24,9547
2,214,14,8,1141,156,857,110,1824,23,945
6,471,32,1,1601,314,631,162,2447,22,786
8,39,2,1754,404,542,187,2679,2122,4,654
6,538,31,0,1573,320,565,165,2443,18,580
4,319,19,9,1294,256,678,145,2058,16,494
3,224,15,3,1159,193,764,125,1856,15,148
1,67,6,9,852,89,1008,101,1547,15,9879
2,155,11,1,1019,127,852,103,1731,14,9636
0,29,2,8,640,43,1320,61,1386,14,9283
0,25,2,3,608,-200,1376,-200,1364,13,9081
-200,2,6,626,59,1316,59,1373,840,3,8705
0,17,2,0,585,38,1412,52,1348,12,8719
0,27,3,5,681,82,1246,64,1418,11,8743
1,50,5,1,770,99,1162,70,1467,11,8672
3,218,16,2,1185,263,770,97,1889,11,8417
3,285,19,7,1287,229,698,95,2055,13,8231
4,327,20,0,1297,314,730,162,1973,21,7589
3,283,18,3,1250,217,776,154,1868,24,7094
4,22,3,1359,252,724,161,1998,1671,3,7014
3,318,20,4,1309,263,773,161,1897,25,7098
2,228,14,6,1136,180,893,128,1675,27,7519
2,201,16,6,1197,184,905,129,1759,28,8730
2,199,15,8,1173,190,898,133,1739,28,8704
3,237,17,8,1235,184,859,139,1778,23,9007
3,261,19,1,1271,181,800,137,1875,21,9342
3,230,15,8,1173,166,854,143,1776,20,9226
5,349,24,9,1426,317,700,177,2106,19,9271
2,183,13,5,1101,184,818,138,1710,17,9059
1,88,9,1,943,130,935,117,1560,16,8910
1,85,8,6,925,132,922,107,1547,15,8666
0,34,4,1,714,70,1169,79,1383,14,8026
0,26,2,6,625,-200,1292,-200,1332,13,7978
-200,1,9,577,54,1396,60,1303,808,7,7956
0,11,1,6,554,28,1460,40,1268,11,7958
0,18,1,9,576,46,1417,53,1289,11,8020
1,84,7,5,878,160,1038,84,1556,9,8048
4,260,21,4,1334,320,702,108,1999,11,8265
6,534,36,4,1696,377,553,127,2535,14,8471
4,368,21,3,1331,280,703,134,2026,17,8254
2,200,15,4,1161,221,819,135,1782,21,8503
2,188,15,1,1152,204,861,153,1747,25,6309
2,152,13,7,1108,161,887,123,1712,25,5708
2,193,15,2,1154,186,940,129,1679,29,7403
2,134,12,3,1060,147,1032,114,1525,28,9133
5,27,0,1478,299,793,158,1981,1569,9,9294
7,577,38,4,1737,411,617,194,2414,23,8558
6,523,35,1,1667,347,597,182,2416,20,9206
5,472,27,2,1485,336,653,180,2174,19,9024
2,206,15,0,1150,202,770,136,1727,17,8975
2,159,13,0,1083,154,796,116,1669,14,8501
1,5,5,787,61,1057,88,1407,1115,8,8233
0,42,3,6,687,-200,1196,-200,1351,13,8113
-200,2,9,645,60,1260,78,1334,925,6,8067
0,20,2,5,623,37,1293,57,1307,12,8117
0,26,3,0,650,68,1251,71,1333,10,8186
1,78,7,7,885,139,1005,85,1551,10,8210
4,319,23,3,1384,339,667,124,2094,11,8365
6,506,35,8,1682,421,541,151,2468,14,8219
4,-200,21,3,1333,349,686,150,2010,17,8515
2,-200,14,3,1127,224,831,152,1752,20,7829
2,-200,12,5,1068,171,899,139,1663,23,6275
2,-200,12,2,1056,149,891,133,1648,24,8180
2,-200,13,1,1087,137,901,126,1660,25,7832
2,-200,14,4,1129,149,934,128,1639,27,7446
2,-200,16,8,1205,172,822,169,1767,27,7523
2,-200,14,5,1131,166,873,149,1689,25,7676
3,-200,21,5,1338,214,764,156,1957,23,8768
5,-200,26,4,1464,280,683,168,2118,20,9456
5,-200,26,0,1453,276,684,176,2051,18,9606
2,-200,10,3,989,129,885,121,1621,14,9915
1,-200,8,3,911,95,948,99,1545,13,29
2,8,9,936,126,918,106,1606,1040,0,9768
0,-200,3,6,688,48,1229,63,1380,12,9620
0,-200,2,5,622,-200,1382,-200,1301,12,9487
-200,1,8,569,20,1440,32,1280,397,3,9332
0,-200,1,3,525,18,1620,28,1260,12,9209
0,-200,2,3,607,56,1373,61,1324,12,9120
4,-200,22,8,1372,320,671,157,2144,13,8917
6,-200,31,3,1582,357,575,166,2456,13,8744
3,-200,16,4,1191,218,759,135,1879,14,8640
2,-200,14,0,1117,192,813,127,1751,15,8791
3,-200,16,7,1202,198,771,135,1875,16,9142
3,-200,19,0,1268,212,724,139,1957,16,8989
4,19,4,1280,249,708,147,1955,1378,1,8840
4,-200,20,9,1320,270,690,158,2005,16,8956
4,-200,21,7,1344,251,677,144,1997,15,9573
3,-200,19,8,1292,210,698,138,1942,15,9380
4,16,7,1202,249,748,143,1854,1429,2,9085
2,-200,9,1,945,143,904,116,1604,14,8842
2,-200,8,3,912,127,948,109,1547,14,8765
1,-200,5,8,802,104,1064,92,1447,13,8666
1,-200,4,1,718,74,1182,81,1382,13,8560
1,-200,3,4,677,-200,1252,-200,1359,13,9129
-200,2,9,646,44,1308,55,1332,505,8,8960
0,-200,3,1,661,42,1260,53,1351,13,9083
0,-200,2,5,622,63,1317,67,1342,13,8765
1,-200,4,3,728,115,1161,91,1461,13,8881
2,-200,8,9,935,170,902,113,1623,13,9046
2,-200,10,5,998,147,834,102,1689,14,9158
2,-200,12,5,1068,166,776,107,1764,15,9281
2,-200,12,3,1061,195,768,113,1768,15,9370
2,-200,11,7,1039,182,782,108,1757,16,9476
2,-200,11,7,1040,168,809,105,1735,17,9493
2,-200,9,3,953,125,900,93,1636,19,9556
1,-200,7,6,884,95,980,87,1573,19,9744
1,-200,6,7,844,79,1036,76,1539,19,159
2,-200,9,7,967,119,930,94,1649,19,9914
2,-200,12,4,1063,142,856,110,1774,18,9964
3,-200,16,6,1199,215,734,136,1919,17,132
3,-200,16,4,1191,229,733,139,1885,17,356
3,-200,13,7,1108,206,785,125,1820,16,396
2,-200,9,9,973,147,864,111,1712,16,398
2,-200,8,9,937,122,905,97,1672,15,9951
2,-200,10,6,999,175,835,107,1714,15,9941
1,-200,6,2,823,89,1004,84,1526,15,196
1,-200,6,5,836,-200,987,-200,1554,15,316
-200,5,8,802,85,1029,87,1539,818,4,630
1,-200,4,0,711,55,1136,66,1461,14,704
0,-200,2,1,594,24,1300,36,1390,14,730
0,-200,3,6,687,72,1143,62,1492,14,868
1,-200,4,4,734,122,1062,91,1528,14,700
1,-200,5,4,782,111,996,89,1560,15,249
1,-200,7,1,862,123,914,93,1633,16,91
1,-200,7,3,870,106,911,81,1646,18,126
1,-200,7,6,883,103,953,82,1617,19,9791
1,-200,6,8,848,102,981,80,1568,20,8942
1,-200,4,6,742,48,1144,48,1507,21,9206
1,-200,8,4,916,63,962,61,1669,21,9252
1,-200,6,9,853,98,1060,89,1506,20,9689
2,-200,9,0,938,132,961,105,1607,19,9520
3,-200,15,1,1151,173,769,116,1874,18,9688
3,-200,12,6,1071,185,823,119,1744,17,9914
4,-200,15,1,1153,266,769,144,1840,17,198
2,-200,9,9,974,188,883,123,1673,17,919
1,-200,8,0,898,122,933,105,1594,17,805
1,-200,7,9,896,112,920,93,1624,16,491
1,-200,6,1,815,93,995,86,1582,16,309
0,-200,1,7,563,23,1417,33,1355,16,49
0,-200,0,7,468,-200,1813,-200,1274,16,9979
-200,0,8,481,17,1756,27,1304,396,1,195
0,-200,0,7,472,15,1786,23,1278,16,9571
0,-200,2,0,586,41,1480,46,1373,16,8281
1,-200,5,1,768,86,1072,76,1538,15,7793
3,-200,17,7,1230,226,732,116,1996,15,7764
3,-200,18,4,1252,214,711,115,1962,17,7263
1,-200,7,3,868,124,1026,87,1509,18,6539
1,-200,9,6,964,122,947,90,1577,21,6681
2,10,4,994,107,955,87,1599,783,3,6060
2,-200,11,2,1021,133,952,99,1607,21,6682
2,-200,10,7,1003,130,965,99,1574,21,8264
2,451,11,6,1034,150,964,101,1544,21,8347
2,185,12,4,1062,138,928,103,1606,20,8178
3,426,18,3,1249,213,720,129,1932,17,8177
4,624,21,0,1325,238,678,146,1965,15,8106
3,325,14,5,1131,180,775,124,1758,14,8071
2,8,4,916,128,920,113,1561,1083,9,8163
1,89,4,3,729,65,1142,80,1370,14,8444
0,73,3,8,700,53,1204,72,1359,13,9215
0,47,2,5,621,51,1298,70,1330,13,9147
0,36,1,2,522,-200,1522,-200,1285,11,9004
-200,0,8,478,20,1701,31,1261,401,1,9093
0,19,0,6,459,13,1908,22,1212,8,
0,26,1,8,567,33,1542,47,1287,9,9232
1,60,4,6,745,103,1178,88,1429,9,8803
3,535,21,0,1325,244,684,132,2095,11,8234
3,340,16,2,1185,237,760,132,1857,12,8351
3,15,5,1166,220,792,131,1794,1236,8,7674
2,267,13,4,1097,207,837,129,1746,13,7971
1,136,10,1,980,131,924,99,1589,14,7695
2,8,7,927,128,944,100,1570,781,0,7822
3,13,8,1111,176,818,122,1719,1013,6,7867
1,151,9,3,953,107,962,97,1514,13,7881
2,236,13,0,1084,131,854,112,1688,11,7664
3,220,14,3,1126,166,812,128,1722,11,8057
1,87,7,6,884,89,1006,101,1487,12,8199
1,81,5,3,776,81,1141,96,1375,12,8082
1,74,5,4,782,78,1105,86,1425,11,8025
1,55,4,9,756,70,1137,85,1411,11,7856
0,35,2,7,634,43,1320,61,1326,11,7628
0,29,1,6,551,-200,1493,-200,1272,10,7382
-200,1,7,559,44,1477,66,1287,721,2,7455
0,20,1,2,522,34,1572,54,1255,10,7501
0,32,1,7,561,43,1496,57,1255,10,7565
1,84,4,8,751,79,1186,75,1403,10,7734
3,245,13,8,1109,174,832,97,1706,11,7535
4,553,23,7,1395,235,652,110,2080,11,7146
3,450,14,2,1124,218,762,113,1770,12,6597
1,118,8,0,898,136,950,88,1505,15,6697
1,118,6,7,842,117,1012,85,1440,15,
1,144,8,7,927,119,959,96,1477,16,9720
2,159,10,8,1009,126,879,106,1566,16,9497
-200,6,7,842,100,1015,91,1494,680,3,8794
2,230,11,4,1028,197,829,126,1730,9,8643
2,320,13,4,1096,195,774,130,1783,11,8486
2,263,12,0,1050,156,828,111,1722,10,8336
4,556,20,2,1302,247,681,134,2008,10,8248
3,458,14,4,1130,190,795,136,1744,10,7717
2,214,9,4,955,169,928,125,1571,10,7516
1,97,5,9,809,118,1064,108,1435,10,
1,79,4,5,739,81,1186,87,1354,10,7890
1,81,4,5,737,80,1168,89,1341,10,8091
1,2,5,621,42,1400,58,1249,479,0,8496
0,38,1,8,568,38,1450,54,1253,9,8152
0,35,1,4,538,-200,1564,-200,1224,9,8695
0,29,0,9,490,18,1707,28,1212,9,8544
0,21,0,6,457,12,1935,20,1158,9,8429
0,46,1,4,540,43,1604,51,1268,7,8415
1,55,3,8,697,84,1260,82,1383,8,8389
2,271,11,6,1035,184,902,112,1721,8,8447
3,434,17,8,1235,202,740,119,1937,8,8209
2,300,8,8,933,133,969,99,1552,9,
1,116,6,8,849,130,1039,98,1468,11,7438
1,95,5,9,809,106,1081,88,1442,13,7462
2,8,9,935,132,958,96,1570,819,2,7094
1,168,8,2,907,106,976,81,1492,14,
1,154,8,6,924,125,986,92,1501,16,6835
2,267,10,1,982,138,939,105,1545,17,7293
2,9,4,957,120,968,88,1527,820,1,7642
2,374,14,6,1137,158,836,103,1748,14,7555
5,797,24,6,1418,253,666,141,2060,13,7140
4,698,21,6,1341,231,692,133,1982,12,7276
2,234,10,3,989,150,904,119,1539,12,7323
1,104,5,7,798,99,1083,106,1376,10,7425
1,67,4,5,736,75,1154,92,1324,9,7398
1,88,5,5,787,93,1098,97,1373,9,7455
1,79,4,8,753,79,1131,91,1357,9,7459
1,61,3,6,690,67,1208,83,1313,9,7655
0,43,1,7,561,-200,1449,-200,1219,8,7711
0,40,2,2,602,45,1398,59,1263,8,7375
0,52,3,0,654,72,1210,73,1312,7,7214
0,64,4,0,713,103,1130,78,1363,8,7544
1,88,6,7,842,132,1015,90,1438,8,7407
3,375,16,7,1201,239,783,110,1828,9,6729
3,592,19,3,1278,275,682,114,1928,11,
3,357,14,8,1142,232,772,119,1747,14,5741
2,296,13,4,1098,180,826,121,1664,16,5683
2,11,0,1014,112,948,97,1503,868,2,5922
2,211,12,5,1068,116,915,99,1535,19,6292
1,199,8,4,916,103,1015,85,1391,16,6982
1,81,5,3,776,89,1152,75,1279,14,6403
1,143,8,8,933,112,976,87,1454,13,6046
2,247,11,2,1023,127,886,102,1588,14,6280
2,239,11,6,1037,125,868,105,1580,12,6172
2,267,12,4,1063,120,876,98,1540,10,6063
2,261,10,6,1000,120,916,93,1490,10,6103
1,97,6,0,811,99,1097,91,1308,9,6300
1,66,4,6,743,79,1185,85,1252,9,
1,60,4,1,715,66,1237,74,1258,9,6746
1,77,5,2,776,94,1144,87,1307,9,6777
1,3,2,664,70,1290,79,1232,646,6,
1,65,4,5,736,75,1142,78,1312,8,6444
1,59,3,8,699,-200,1191,-200,1292,7,6410
-200,3,8,698,57,1209,63,1296,801,4,6396
0,27,1,9,578,32,1417,48,1212,8,6500
0,25,2,4,615,54,1373,59,1250,6,6654
1,42,3,3,669,68,1270,65,1266,7,6313
1,78,6,7,842,98,1050,71,1418,7,5920
1,128,8,5,919,128,922,84,1530,11,6013
2,184,9,7,966,129,942,93,1520,15,5861
2,156,9,4,955,130,992,99,1451,17,5735
1,176,9,0,940,111,994,93,1449,17,5737
2,232,10,0,979,106,950,96,1467,19,5555
2,305,12,6,1072,137,888,114,1596,17,6038
1,150,7,6,883,113,1051,101,1357,17,6440
2,188,11,8,1042,122,934,108,1538,18,
2,221,11,2,1022,137,916,117,1508,17,6991
2,219,12,4,1062,165,886,125,1586,15,6946
3,12,9,1079,196,827,133,1621,1286,7,7042
2,270,12,2,1057,174,841,119,1633,13,7326
2,231,8,8,930,140,948,107,1475,12,7277
1,125,6,8,848,102,1023,96,1421,11,7278
2,122,8,6,924,130,906,105,1483,10,7294
2,161,8,9,937,121,930,102,1464,10,7276
2,101,8,3,912,111,939,97,1451,10,7124
1,95,6,3,827,87,1013,79,1395,9,7000
2,129,8,3,911,-200,935,-200,1501,8,6990
1,96,5,1,769,77,1110,69,1396,8,7043
0,54,2,6,626,39,1325,52,1284,9,7035
1,63,3,6,688,77,1251,62,1342,7,7242
1,72,3,6,691,91,1219,69,1321,7,7018
1,91,4,7,747,105,1136,75,1382,9,6887
1,127,7,5,880,133,959,83,1486,12,6607
2,193,9,0,938,128,918,94,1501,16,5768
2,188,9,5,958,126,933,96,1514,19,
1,151,7,7,887,92,1020,86,1438,21,5594
1,103,5,7,796,66,1159,72,1287,21,5848
1,3,8,700,50,1285,53,1189,452,6,6048
1,104,4,8,754,70,1189,65,1260,18,6170
1,116,4,3,727,73,1213,70,1244,18,6438
1,93,4,1,714,77,1217,75,1238,17,6623
1,93,4,7,746,86,1174,86,1301,15,6686
1,155,6,2,823,93,1068,94,1357,14,6449
1,115,5,5,789,105,1102,103,1329,13,6319
1,75,3,3,669,67,1261,81,1246,12,6135
1,65,3,2,666,63,1266,80,1224,11,5895
1,57,2,9,648,63,1300,77,1204,11,5901
0,40,2,2,598,46,1396,58,1156,10,5913
0,27,1,3,524,21,1588,31,1071,10,6280
0,23,1,1,509,22,1643,38,1076,10,6341
0,28,1,3,524,-200,1557,-200,1095,10,6167
0,21,1,2,516,39,1496,59,1153,11,6150
0,33,1,7,559,55,1441,70,1180,10,5748
0,40,2,9,643,76,1309,75,1232,9,5184
2,279,14,3,1125,181,844,103,1687,8,5222
4,743,19,7,1289,259,714,134,1806,10,5285
1,147,5,5,786,118,1111,98,1258,11,5406
1,97,5,6,793,119,1133,97,1254,13,5517
1,118,5,8,803,123,1105,98,1293,15,5446
1,91,5,5,786,92,1129,78,1272,16,5387
1,146,6,5,833,91,1070,83,1332,17,5522
1,139,5,5,790,103,1131,92,1268,17,5558
1,155,5,2,776,102,1131,81,1247,18,5680
1,128,5,8,801,94,1098,90,1289,18,5839
1,166,7,9,896,98,996,95,1358,17,5733
2,299,10,2,985,126,905,114,1477,16,5170
2,163,8,2,907,108,957,106,1404,14,4405
1,154,5,7,797,95,1066,99,1302,13,
1,80,3,8,700,78,1221,90,1178,13,
1,58,4,0,710,61,1278,82,1137,13,4595
1,2,8,643,55,1339,74,1089,455,4,5442
1,2,6,630,57,1418,76,1050,425,1,5298
0,33,1,8,569,41,1468,66,1055,11,
0,32,1,7,563,46,1402,73,1130,10,5037
0,25,1,4,540,-200,1457,-200,1104,11,5376
-200,1,3,529,41,1462,69,1101,693,2,5341
0,26,2,3,605,52,1341,71,1117,12,
1,86,5,3,779,111,1080,98,1266,11,5305
2,294,13,4,1096,191,839,115,1587,11,5741
4,23,8,1399,244,642,130,1947,1675,3,5529
4,695,21,5,1337,283,674,150,1852,16,5463
4,735,21,0,1324,320,695,159,1872,17,5352
3,649,18,4,1251,249,734,146,1754,18,5295
3,586,18,9,1267,219,742,138,1763,20,5790
3,546,17,1,1213,200,791,128,1711,22,6295
2,245,10,4,992,138,942,97,1448,20,6788
1,178,8,0,897,118,991,91,1372,19,7228
1,130,6,2,820,99,1060,81,1325,18,7541
2,151,9,7,968,112,874,99,1527,17,7790
2,272,9,6,962,117,853,101,1532,15,7833
2,301,11,9,1047,129,815,106,1638,15,7574
2,237,8,7,928,132,884,102,1534,15,7302
1,95,4,7,746,73,1072,84,1360,15,6850
1,68,3,8,701,68,1147,81,1323,15,
1,101,4,7,747,80,1094,91,1360,14,6834
1,81,3,8,702,68,1180,82,1287,14,5823
1,2,7,631,44,1287,64,1240,541,8,5928
0,66,2,8,639,47,1222,70,1256,14,5947
0,22,1,0,496,-200,1613,-200,1066,14,
0,18,0,8,477,15,1699,26,1064,14,9129
0,31,1,5,545,44,1473,58,1131,14,9256
1,3,5,684,85,1220,93,1279,688,4,9384
3,342,15,6,1168,207,721,110,1926,13,9582
4,644,19,9,1295,230,639,115,1957,13,9924
2,216,8,6,924,181,872,125,1576,10,442
1,117,6,5,837,144,957,118,1498,11,411
1,156,7,7,886,140,902,109,1579,12,746
2,332,11,3,1025,204,779,123,1772,12,9974
2,232,9,1,944,149,846,114,1638,11,8997
2,295,11,2,1023,171,804,114,1748,13,9087
3,386,13,5,1100,195,755,119,1799,14,8881
2,278,10,1,980,152,850,111,1637,15,8581
2,263,11,3,1026,128,810,103,1681,15,8446
2,322,11,8,1041,121,821,103,1712,15,8315
2,226,11,5,1033,142,819,107,1669,14,8224
2,221,9,3,953,131,882,105,1588,13,8164
1,109,5,5,787,81,1044,91,1418,12,8593
1,105,5,1,769,60,1078,79,1409,12,8652
1,84,4,8,754,57,1098,79,1395,12,8630
1,106,6,3,825,96,986,86,1477,12,8394
1,100,5,1,770,85,1031,70,1425,11,8299
1,71,4,1,716,50,1085,55,1405,10,8325
0,72,4,0,713,-200,1099,-200,1422,9,8243
0,44,2,4,615,57,1237,49,1322,10,8273
0,45,2,9,648,64,1176,50,1340,11,8455
1,134,7,4,876,153,1002,67,1561,9,8892
4,505,19,8,1291,342,675,94,1949,9,8693
6,1042,31,9,1595,378,539,119,2439,11,8743
4,737,21,0,1323,304,631,139,2001,16,8797
2,375,11,7,1040,192,800,113,1701,19,8771
1,124,6,8,850,130,970,88,1489,19,
1,137,7,4,875,106,974,73,1524,20,
1,179,8,6,924,102,937,73,1542,21,
1,222,-200,0,-200,99,-200,72,-200,-200,7913
1,197,-200,0,-200,108,-200,81,-200,-200,8814
2,319,-200,0,-200,131,-200,93,-200,-200,8878
3,388,16,4,1193,163,793,106,1193,23,8493
4,589,21,2,1331,211,700,132,2028,22,8341
5,840,25,0,1429,267,624,164,2089,20,
4,655,20,2,1302,269,666,161,1922,18,
2,254,10,8,1007,154,827,124,1604,16,
2,9,9,976,127,844,113,1570,1200,8,8922
2,8,5,920,122,898,103,1529,1118,9,
2,8,0,899,126,921,104,1514,1067,1,8869
1,88,5,6,795,84,986,93,1442,13,
1,3,2,667,58,1180,60,1350,718,3,9738
0,57,3,3,673,-200,1137,-200,1381,11,9671
-200,2,8,638,37,1195,52,1342,749,2,254
0,51,2,6,628,56,1197,66,1372,11,221
1,93,4,3,727,91,1055,82,1448,11,
2,284,13,0,1083,159,798,109,1833,11,13
3,486,20,3,1306,190,634,114,2060,12,9855
5,20,7,1316,249,634,139,2054,1510,6,9322
3,524,15,9,1177,196,706,127,1898,16,
2,468,14,2,1123,180,738,127,1821,19,9371
3,454,15,9,1176,167,748,135,1825,22,9101
3,16,1,1183,159,765,130,1773,1242,6,8288
2,391,14,7,1139,152,790,126,1761,24,7792
2,337,14,0,1116,149,809,121,1703,26,9012
2,297,13,6,1103,143,872,122,1632,27,9978
3,588,19,7,1288,185,778,138,1799,26,9483
4,721,23,3,1385,223,685,165,1915,24,
4,710,24,1,1407,215,641,154,2052,21,9467
5,787,25,4,1439,271,618,168,2083,19,100
3,14,1,1121,180,771,146,1685,1399,5,9990
1,245,10,1,982,115,841,124,1582,17,9933
2,294,12,1,1052,149,761,124,1684,16,9886
1,139,9,0,941,98,828,106,1566,17,9796
1,98,6,3,827,73,936,88,1488,16,9488
1,88,5,3,777,69,986,83,1455,15,9631
0,66,3,8,697,-200,1056,-200,1410,15,9408
0,57,3,0,651,60,1145,74,1380,14,
0,57,3,3,673,56,1103,64,1387,13,
0,60,3,5,683,73,1112,69,1398,13,9684
2,9,5,959,159,846,91,1660,1136,3,
3,15,2,1154,203,704,96,1872,1391,1,
3,422,14,3,1126,211,720,106,1816,17,
-200,11,2,1023,-200,785,-200,1720,1410,7,
-200,11,4,1030,-200,781,-200,1743,1372,7,
-200,13,4,1096,-200,781,-200,1779,1266,3,
-200,10,6,1000,-200,866,-200,1621,1014,8,
-200,10,8,1006,-200,915,-200,1573,870,8,
-200,11,9,1046,-200,882,-200,1635,905,0,
-200,13,5,1102,-200,834,-200,1704,991,8,
-200,15,2,1156,-200,812,-200,1722,1076,1,
-200,17,1,1213,-200,764,-200,1798,1249,7,
-200,26,7,1471,-200,625,-200,2153,1548,1,
-200,14,2,1124,-200,736,-200,1823,1300,9,
-200,8,5,918,-200,873,-200,1602,1029,7,
-200,14,3,1128,-200,762,-200,1870,1207,1,
-200,9,3,952,-200,847,-200,1644,1047,5,
-200,7,8,892,-200,884,-200,1580,923,7,
-200,6,7,843,-200,929,-200,1551,862,9,
-200,5,4,782,-200,980,-200,1500,752,2,
-200,5,6,793,-200,965,-200,1521,791,7,
-200,3,5,682,-200,1090,-200,1448,697,3,
-200,3,0,650,-200,1171,-200,1434,664,7,
-200,4,4,731,-200,1020,-200,1488,891,9,
-200,3,5,684,-200,1110,-200,1423,813,7,
